S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
1381,C (Third Level),Automobile,Section Cutter,"Sitting (S), Standing (ST), Bending (BN), Pulling & Pushing (PP), Reading & Writing (RW), Seeing (SE), Hearing (H)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Cutting of various metals, materials like paper, 
boards, paper boards etc for proper and various 
shapes for various usage.","The work is performed inside as well as outside. The person should 
be able to accomplish 1921ssigned task efficiently. The incumbent  should be considered with aids and appliances ",TRUE
1382,C (Third Level),Automobile, Input Output Asst. ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Pulling & Pushing (PP), Reading & Writing (RW), Seeing (SE), Hearing (H)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A and C), Multiple Disabilities (MD A and D)","Assists technicians in preparing result and 
reports input and output of the experiments and 
test conducted.",The work is performed inside as well as outside. The incumbent should be considered with aids and appliances ,TRUE
1383,C (Third Level),Automobile,Lagger ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Kneeling & Crouching (KC), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Both Legs (BL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),"Opening & fabricating walls and pre- 
fabrication, insulation materials fixation & insulation works",Hazardous job. Work is performed in noisy and dusty condition.  The incumbent should be considered with aids and appliances. ,TRUE
1384,C (Third Level),Automobile,Grinder Tool And  Cutter ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Kneeling & Crouching (KC), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),Grinds machine tools and cutter to correct specifications by special grinding machines and wheel. Studies drawings and other specifications to understand nature of grinding operation required. Fastens appropriate abrasive wheel to spindle of machine. ,Work is performed inside and outside. No hazards are involved. Mobility of the person should be adequate. The incumbent should be considered with aids & appliances. ,TRUE
1385,C (Third Level),Automobile,"Fitter, Bicycle ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Repairsandoverhaulspedalcycles,perambulators 
etc. by replacements, setting and adjusting parts 
tokeepthemingoodworkingcondition.Examines 
bicycle to as certain nature and location of faults. ","Work is performed inside  in well lighted room. No hazards are involved. Mobility 
of the person should be adequate.  The incumbent should be considered with 
aids & appliances.",TRUE
1386,C (Third Level),Automobile,  Assembly  Operator (Radio  Manufacturing) ,"Sitting (S), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Fitting and soldering parts together as designed 
to form sub-assemblies and fits them to printed 
circuit board following specifications and using 
hand tools to make complete wireless receiving 
set. Collects required components or parts such 
as chassis, transistors, resistors, speaker, etc. and 
places them at convenient position on worktable. ",Work is performed inside  in well lighted room. No hazards are involved. Mobility and bilateral hand activities of the person should be adequate.  The incumbent should be able to perform assigned task with aids &appliances. ,TRUE
1387,C (Third Level),Automobile,Plate Setter ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),"Sets plates of ship structure, boilers, water reservoirs etc. to specified curves (profiles)  by 
heating and hammering.",Work is performed inside as well as out side on a ship. The person should  have functional communication skills with aids & devices.,TRUE
1388,C (Third Level),Automobile,Boiler Fitter ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),Fits various components and mountings to boilers and assists Boiler Maker in preparing boilers for steam and hydraulic tests.,"Work is performed inside as well as out side on a ship. The person should  have functional 
communication skills with aids &devices. ",TRUE
1389,C (Third Level),Automobile,Boiler Maker ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),"Makes layout of boiler from drawings, fits and assembles different parts, adjusts valves, 
prepares boiler for steam and hydraulic tests and undertakes repairs of boilers.",Work is performed inside as well as out side on a ship. The person should have functional communication skills with aids &devices,TRUE
1390,C (Third Level),Automobile,Rivetor ,"Sitting (S), Standing (ST), Bending (BN), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),"Joins permanently metal parts, plates etc. with rivets either manually or by pneumatic or 
hydraulic machines. Selects correct size and type of rivets",Work is performed outside and inside both. The person should have functional communication skills with aids & devices. ,TRUE
1391,C (Third Level),Automobile, Strengthening  Machine Operator  (Iron & Steel) ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Operates hydraulic, mechanical or pneumatic straightening machine to straighten girders, bars, tubes, joints, plates, angle irons, rails, etc., to required accuracy.",Work is performed outside and inside both. Mobility of the person should be adequate. Should have functional communication skills with aids & devices. The incumbent should be able to performed assigned task efficiently.,TRUE
1392,C (Third Level),Automobile,"Puncher, Metal ","Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Punches, drills and countersinks holes in strip plates, boiler frames and other metal parts by 
machine or hand tools. Studies drawings and other specifications to understand nature of 
punching operation required. Selects proper size punch and screws it into upper jaw of machine. ","Work is performed inside. Mobility of the person should be adequate. Should have functional communication skills with aids & devices. The incumbent should be able to performed assigned task efficiently.  
",TRUE
1393,C (Third Level),Automobile,Pneumatic Chipper ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Operates pneumatic chipper and removes excess 
metal and scrapings from metal products and 
fixtures such as castings, fixtures, girders, joints 
etc.",Work is performed inside. Mobility of the person should be adequate. Should have functional communication skills with aids & devices. The incumbent should be able to performed assigned task efficiently. ,TRUE
1394,C (Third Level),Automobile,Lead Bush Maker  (Abrasive Wheel) ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Lifting (L), Pulling & Pushing (PP), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),Makes lead bushes for abrasive wheel by running molten lead around metal core inserted into center hole.,Work is performed outside and  inside both. Incumbent should be able to accomplish assigned task efficiently.  The incumbent should be considered with aids and appliances. ,TRUE
1395,C (Third Level),Automobile,Glazier Vehicles ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),"Cuts   ordinary   and   pressurized   glass    or molded cellulose acetate to  correct  size  and  fits  them  in  frame  of windows,     windshields,    and    doors    of automobiles,  
aircrafts,  railways  and   tram coaches  etc.  edging them with rubber or leather packing. ",Work   is  performed   outside   and inside both.    Incumbent    should    be    able   to accomplish assigned task efficiently.  The incumbent should be considered with aids and appliances. ,TRUE
1396,C (Third Level),Automobile,Hut Maker ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Kneeling & Crouching (KC), Pulling & Pushing (PP), Manipulation with Fingers (MF), Seeing (SE)",,"Hard of Hearing (HH), Deaf (D)",,"Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and B),"Erects huts, cabin or similar Dwellings with wooden planks poles, logs, bamboos, hay, straw, 
reeds, dry leaves, etc., collects necessary materials required for construction.","Work is performed outside and  inside both. Incumbent should be able to accomplish assigned task efficiently.  The incumbent should be considered with 
aids and appliances. ",TRUE
