S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
1,A (One Level),Accounts & Audit,Assistant  Accounts General  (Audit) / Assistant  Accountant  General (Audit),"Sitting, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Communication, Organisation, Memory, Socialisation, Following Schedules, Work environment change, Behaviour management, Emotional management, Travelling",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Both Legs (BL), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)",,Multiple Disabilities (MD B and C),"They examine account books and 
records of business establishments,
private institutions, Government or 
Quasi Government offices for 
accuracy and completeness of book 
keeping records and financial 
statement. Check items of entries in 
day book or journal for correct 
recording, scrutinise bills, vouchers 
and relevant entries in cash books. 
Verify ledger entries against 
receipts for cash payment. Check 
total for proper observance of 
accounts procedure and ensure that 
all revenue and expenditure and 
disbursements and properly 
authorized, vouched and correctly 
classified. Report to appropriate 
authority irregularities in accounts, 
improper expenditure etc. May 
prepare financial statement and final accounts such as profit and 
loss.","The work is performed mostly inside 
in well lighted rooms. The workers 
usually work alone. Occasional group 
activity is required. No hazards are 
involved. Mobility should not be 
restricted with use of appliance for 
field duties. Incumbent should be 
considered with appropriate aids& 
appliances as per needs.",TRUE
2,D (Fourth Level),Handicrafts,brass finisher(86),"Sitting, Standing, Walking, Bending, Lifting, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Attends to repair of brass valves, chest, cocks, door handle,
doors, fire boxes and glass fittings.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever necessary",TRUE
3,D (Fourth Level),Estate and Maintenance,Utility Hand,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Utility Hand performs a variety of maintenance duties across
many platforms. He may be hired by construction companies,
offices and other organizations that have specific
maintenance needs. He plays a huge role in keeping utility
systems such as electricity, water and gas up and running at
all times.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
4,D (Fourth Level),Estate and Maintenance,Lascar OD,"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Seeing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)",,,,"Lascar OD; Sea man helps to drive Ships and Launches.
Helps in maintaining the Ships, launch etc.","The work is performed
mostly outside especially",TRUE
5,D (Fourth Level),Estate and Maintenance,SG. Janitors,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Cleaning and Maintenance,"The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
6,D (Fourth Level),Estate and Maintenance,Janitor,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Cleaning and Maintenance,"The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
7,D (Fourth Level),Estate and Maintenance,Grinding Machine Attendant,"Standing, Seeing",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Grinding Machine Attendant (Abrasive), Shifting Machine
Attendant (Abrasive) shifts and grades powdered ore or
minerals by machine for use as abrasive powder and collects them separately according to their grades. Loads hopper of
grading or sifting machine with powder ore; ensures that
different grades or mesh of sieves are set to machine by
Fitter; places empty containers or bags at delivery end of each
sizing or grading compartment; starts machine; maintains
steady flow of powder into sieve and pokes rod to remove
blocks as necessary; observes operations to ensure correct
sifting and sorting of powder according to size of sieving
mesh; collects sifted materials according to grades (coarse to
fine particles) in bags and stores them in central place. Cleans
machine with compressed air at close of shift and keeps
surroundings clean and tidy.","The work is performed
mostly inside. Occasional
field work is involved.He usually works alone.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
8,D (Fourth Level),Estate and Maintenance,Size Maker (Abrasive),"Sitting, Bending, Manipulation with Fingers, Seeing",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Size Maker (Abrasive); Mixing Machine Man (Abrasive)
prepares sizing mixture and ensures its continuous supply to
sizing machine (abrasive). Weights and measures sizing
materials such as glue, resin, varnish, solvents, water, etc. as
per formulae and fills them in heating kettle or tank fitted
with steam pipes; opens steam valve to heat kettle and boil
ingredients; allows ingredients to mix and boil for prescribed
period; stops supply of steam after set period; opens outlet or
drain valve of kettle or tank to drain and maintain regular
supply of glue to sizing machine; cleans tank and keeps place
clean and tidy.","The work is performed
mostly inside. The job
requires lifting heavy
weights. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary",TRUE
9,D (Fourth Level),Estate and Maintenance,Mistry,"Sitting, Standing, Walking, Bending, Lifting, Kneeling & Crouching, Pulling & Pushing, Manipulation with Fingers, Seeing, Hearing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Maintenance and other manual works assigned by superiors.,"The work is performed
inside as well as outside.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
appliances. Whenever
necessary.",TRUE
10,D (Fourth Level),Estate and Maintenance,Gestetner Operator,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)",Operating Gestetner machine. Maintaining the machine.,"The work is performed mostly inside . Incumbent should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
11,D (Fourth Level),Estate and Maintenance,Semi-Skilled Fitter (Maintenance),"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Maintenance of equipment/installations in offices / industrial
buildings and quarters. Break down and preventive
maintenance of machinery / cranes /material handling
equipment. Maintenance of yard lighting, switch boards etc.
Maintenance of HT &LT switch gears, dc supply systems etc.
Installation, testing and commissioning of various equipment
and systems onboard vessels under construction and repair
including erection of fitting seats. Up-keeping, operational
maintenance of various electrical & electronic equipment &
systems onboard vessels.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
12,D (Fourth Level),Estate and Maintenance,Pipe Fitter,"Sitting, Standing, Walking, Manipulation with Fingers, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Lays repairs and maintains, pipes for supply of water, gas, oil
or steam in buildings, gardens, workshops, stores, ships etc.,
according to drawings or instructions. Examines drawings
and other specifications or receives relevant instructions. Cuts
passage holes for laying pipes in walls and floors. Cuts reams,
threads and bends pipes according to specifications. Lays
pipes in cut passage and assembles pipe sections with
couplings, sockets, Tee's elbows etc. Levels position of pipes
using sprit level for gravitational flow. Caulks joints, tests
them for leakage with pneumatic or hydraulic pressure and
secures pipe line to structure with clamps, brackets, and
hangers.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
13,D (Fourth Level),Estate and Maintenance,Workshop Attendant (Senior / Junior ),"Sitting, Standing, Walking, Bending, Lifting, Pulling & Pushing, Manipulation with Fingers, Reading & Writing, Seeing, Hearing","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C), Multiple Disabilities (MD B, C, D)","Maintains cleanliness of instruments and surroundings of the
workshop. Helps other staff in the installation and movements
of the instruments.","The work is performed
mostly inside. Mobility
and bilateral hand
activities should be adequate. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
14,A (One Level),Administration (Non-Secretarial),Executive/ Senior Executive (Human Resource),"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Both Legs (BL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV), Muscular Dystrophy (MDy)",Mental Illness (MI),"Multiple Disabilities (MD A, B, C, D)","Manpower planning/ recruitment/ training & development/ performance management/ manpower outsourcing/ competency assessment , and mapping/ talent management, etc.","The work is mostly performed inside in well lighted rooms. The worker usually does his work alone. It does not involve any hazard. Incumbent should be considered with appropriate aids, appliances and software as per requirement of the job.",TRUE
15,A (One Level),Administration (Non-Secretarial),Management Trainee (Human Resource),"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), One Arm One Leg (OAL), Cerebral Palsy (CP), Dwarfism (Dw), Acid Attack Victims (AAV), Muscular Dystrophy (MDy)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Handling all HR, IR, Welfare, Legal and Administrative matters pertaining to the Divisions/  Offices where he/she is posted. Additionally the incumbent is responsible for Security', PR and OL implementation, Safety functions etc. related to the Division.","The work is mostly performed inside in well lighted rooms. The worker usually does his work alone. It does not involve any hazard. Incumbent should be considered with appropriate aids, appliances and softwareas per requirement of the job.",TRUE
16,A (One Level),Aeronautics,Director of Operations,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures.","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliances and software as per requirement of the job.",TRUE
17,A (One Level),Aeronautics,Deputy Director of Engineering,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures.","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
18,A (One Level),Aeronautics,Assistant Superintendent,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures.","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
19,A (One Level),Aeronautics,"Manager ,Navigational","Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures.","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
20,A (One Level),Aeronautics,Deputy Operation Manager,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
21,A (One Level),Aeronautics,Deputy Engineering Manager,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
22,A (One Level),Aeronautics,Planning Manager,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures.","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
23,A (One Level),Aeronautics,Executive Engineer,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), One Leg (OL), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures.","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
24,A (One Level),Aeronautics,Senior Planning Officer,"Sitting, Standing, Walking, Bending, Kneeling & Crouching, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,,"One Arm (OA), Dwarfism (Dw), Acid Attack Victims (AAV)",Specific Learning Disability (SLD),Multiple Disabilities (MD A and B),"They develop and modify designs of aircraft and missile systems and maintain their  air- worthiness.Analyze comprehensive or incomplete engineering sketches, drawings and notes to evaluate manufacturing and functional practicability of proposed design.Draw preliminary sketches and apply mathematical formulae, physical laws and fundamental aero Deputy namics theory to develop detail   drawings and specifications of Structures or systems such as rib assemblies Struts. Landing gear, weight strength etc. Design components to be cast or machined from metal stock. Select standard components such as gears, motors relays etc. for in-corporations in design and draft compete layout drawings. Compile stress analysis data resulting from testing of experimental component and prepare reports, charts and graphs for use by engineering personnel in making design decisions. Inspect
various units and components of aircraft such as engine, airframe landing gears, electrical system, various instruments generator, starters’ autopilot  mechanism etc
before and after flight according to chart and get necessary repair replacement and adjustments done by respective aircraft mechanics. Issue daily certificate of safety for flight after checking and ensuring airworthiness and signal pilot for taking off. May conduct air crash enquiries to find out cause of crash & suggest remedial measures","Much of the work is done outside Work place is at times noisy and vibrating. Work usually is done in group. The job is hazardous. However, planning work is done inside in normal surroundings. Mobility should not be restricted with the use of appliances. Both hands should be free to work.. Incumbent should be considered with appropriate aids, appliancesand softwareas per requirement of the job.",TRUE
25,D (Fourth Level),Estate and Maintenance,Field Attendant,"Sitting, Standing, Bending, Pulling & Pushing, Reading & Writing, Seeing, Hearing",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)",Working in the fields as per daily duty allotment.,"The work is performed
mostly outside.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
26,D (Fourth Level),Estate and Maintenance,Farm Shed Attendant,"Sitting, Standing, Bending, Pulling & Pushing, Manipulation with Fingers, Reading & Writing, Seeing, Hearing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Operating gas cylinders, maintaining the gas equipment.","The work is performed
mostly inside. Mobility
should be adequate
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
